,volume
9,9
10,4
11,9
12,10
13,13
14,12
15,2
16,8
17,13
18,8
19,13
20,32
81,10
82,8
83,5
84,11
85,8
86,15
87,9
88,4
89,10
90,13
91,20
92,29
153,5
154,6
155,10
156,16
157,14
158,11
159,10
160,14
161,28
162,36
163,41
164,75
225,7
226,8
227,6
228,4
229,10
230,11
231,5
232,2
233,3
234,6
235,10
236,36
297,8
298,13
299,10
300,7
301,11
302,15
303,6
304,5
305,7
306,12
307,17
308,32
369,11
370,10
371,14
372,6
373,11
374,20
375,4
376,5
377,9
378,8
379,19
380,24
441,5
442,6
443,11
444,7
445,7
446,13
447,9
448,6
449,8
450,10
451,12
452,26
513,9
514,6
515,8
516,7
517,13
518,13
519,6
520,4
521,10
522,13
523,23
524,39
585,9
586,7
587,6
588,16
589,11
590,16
591,6
592,4
593,10
594,12
595,20
596,35
657,6
658,12
659,13
660,9
661,7
662,14
663,22
664,22
665,19
666,30
667,49
668,50
729,3
730,7
731,9
732,10
733,10
734,16
735,6
736,5
737,4
738,4
739,9
740,18
801,10
802,8
803,16
804,19
805,9
806,21
807,7
808,3
809,9
810,10
811,17
812,24
873,41
874,48
875,46
876,59
877,81
878,101
879,142
880,151
881,193
882,213
883,257
884,275
944,10
945,10
946,4
947,9
948,10
949,28
950,27
951,28
952,45
953,64
954,79
955,73
1375,5
1376,3
1377,5
1378,5
1379,13
1380,9
1381,2
1382,2
1383,7
1384,9
1385,12
1386,19
1446,4
1447,6
1448,5
1449,13
1450,8
1451,10
1452,4
1453,7
1454,10
1455,8
1456,9
1457,17
1517,7
1518,6
1519,8
1520,2
1521,16
1522,7
1523,2
1524,3
1525,9
1526,13
1527,13
1528,18
1589,6
1590,5
1591,3
1592,12
1593,15
1594,12
1595,6
1596,11
1597,6
1598,9
1599,26
1600,18
1661,9
1662,8
1663,11
1664,9
1665,7
1666,10
1667,3
1668,8
1669,6
1670,10
1671,17
1672,16
1733,8
1734,8
1735,11
1736,10
1737,10
1738,12
1739,7
1740,2
1741,4
1742,17
1743,18
1744,32
1805,4
1806,3
1807,8
1808,12
1809,13
1810,6
1811,3
1812,7
1813,8
1814,14
1815,20
1816,20
1877,6
1878,9
1879,9
1880,9
1881,9
1882,11
1883,10
1884,7
1885,9
1886,10
1887,19
1888,31
1949,6
1950,5
1951,9
1952,9
1953,11
1954,16
1955,4
1956,3
1957,7
1958,6
1959,7
1960,10
2021,7
2022,10
2023,7
2024,14
2025,12
2026,17
2027,2
2028,5
2029,7
2030,13
2031,18
2032,19
2084,13
2085,17
2086,21
2096,12
2097,16
2098,17
2108,8
2109,16
2110,23
2120,8
2121,13
2122,21
2132,7
2133,8
2134,22
2144,13
2145,10
2146,8
2156,18
2157,21
2158,24
2177,10
2178,14
2179,20
2180,18
2181,17
2182,23
2183,28
2184,24
2185,34
2186,39
2187,57
2188,72
2249,2
2250,13
2251,18
2252,20
2253,17
2254,20
2255,27
2256,37
2257,35
2258,47
2259,59
2260,69
2321,12
2322,15
2323,19
2324,18
2325,18
2326,18
2327,31
2328,28
2329,30
2330,36
2331,50
2332,71
2393,9
2394,15
2395,13
2396,21
2397,12
2398,22
2399,27
2400,27
2401,39
2402,42
2403,61
2404,60
2465,12
2466,14
2467,15
2468,15
2469,23
2470,19
2471,34
2472,29
2473,38
2474,22
2475,63
2476,63
2537,6
2538,23
2539,15
2540,16
2541,16
2542,25
2543,29
2544,38
2545,30
2546,37
2547,58
2548,63
2609,10
2610,18
2611,16
2612,7
2613,16
2614,31
2615,35
2616,30
2617,33
2618,41
2619,47
2620,60
2681,11
2682,13
2683,16
2684,15
2685,21
2686,23
2687,21
2688,37
2689,42
2690,31
2691,61
2692,66
2753,10
2754,9
2755,12
2756,19
2757,22
2758,19
2759,26
2760,29
2761,34
2762,45
2763,63
2764,79
2825,5
2826,12
2827,19
2828,21
2829,17
2830,15
2831,31
2832,31
2833,31
2834,35
2835,62
2836,52
2897,9
2898,19
2899,12
2900,13
2901,21
2902,18
2903,25
2904,28
2905,28
2906,32
2907,36
2908,54
2969,15
2970,20
2971,20
2972,15
2973,17
2974,17
2975,29
2976,36
2977,29
2978,45
2979,50
2980,60
3039,6
3040,2
3041,4
3042,4
3043,4
3044,3
3045,5
3046,14
3047,11
3048,6
3049,19
3050,2
3111,7
3112,6
3113,9
3114,10
3115,12
3116,10
3117,13
3118,19
3119,23
3120,10
3121,30
3122,17
3541,5
3542,10
3543,10
3544,11
3545,18
3546,18
3547,23
3548,26
3549,23
3550,30
3551,38
3552,67
3613,8
3614,13
3615,12
3616,15
3617,25
3618,21
3619,31
3620,24
3621,33
3622,33
3623,41
3624,53
3685,9
3686,11
3687,18
3688,15
3689,22
3690,26
3691,29
3692,37
3693,39
3694,33
3695,61
3696,59
3757,7
3758,10
3759,19
3760,16
3761,17
3762,20
3763,23
3764,33
3765,37
3766,37
3767,51
3768,56
3829,6
3830,14
3831,18
3832,17
3833,23
3834,23
3835,33
3836,29
3837,30
3838,38
3839,47
3840,67
3901,12
3902,7
3903,13
3904,14
3905,19
3906,30
3907,31
3908,40
3909,34
3910,39
3911,46
3912,76
3973,7
3974,8
3975,12
3976,16
3977,17
3978,25
3979,29
3980,33
3981,41
3982,34
3983,48
3984,57
4045,10
4046,9
4047,16
4048,13
4049,23
4050,23
4051,24
4052,28
4053,37
4054,43
4055,44
4056,59
4117,7
4118,15
4119,15
