,volume
18,8
19,13
20,32
21,39
22,31
23,43
24,46
25,56
26,41
27,50
28,49
29,44
90,13
91,20
92,29
93,38
94,30
95,31
96,53
97,50
98,45
99,51
100,68
101,59
162,36
163,41
164,75
165,78
166,84
167,95
168,122
169,126
170,77
171,49
172,55
173,53
234,6
235,10
236,36
237,28
238,40
239,34
240,50
241,58
242,51
243,43
244,52
245,59
306,12
307,17
308,32
309,28
310,41
311,42
312,49
313,68
314,50
315,41
316,52
317,44
378,8
379,19
380,24
381,28
382,33
383,35
384,43
385,64
386,71
387,52
388,68
389,66
450,10
451,12
452,26
453,20
454,22
455,33
456,35
457,40
458,50
459,41
460,42
461,49
522,13
523,23
524,39
525,44
526,39
527,46
528,49
529,52
530,45
531,48
532,52
533,51
594,12
595,20
596,35
597,56
598,50
599,41
600,60
601,45
602,64
603,58
604,65
605,45
666,30
667,49
668,50
669,91
670,74
671,104
672,128
673,137
674,104
675,111
676,121
677,136
738,4
739,9
740,18
741,25
742,30
743,30
744,41
745,48
746,50
747,47
748,40
749,48
810,10
811,17
812,24
813,29
814,31
815,44
816,46
817,48
818,47
819,60
820,61
821,63
882,213
883,257
884,275
885,267
886,244
887,233
888,217
889,210
890,198
891,251
892,249
893,242
953,64
954,79
955,73
956,163
957,164
958,168
959,203
960,237
961,277
962,266
963,271
964,211
1384,9
1385,12
1386,19
1387,21
1388,36
1389,27
1390,31
1391,39
1392,38
1393,35
1394,31
1395,38
1455,8
1456,9
1457,17
1458,26
1459,25
1460,33
1461,46
1462,39
1463,35
1464,45
1465,41
1466,41
1526,13
1527,13
1528,18
1529,34
1530,40
1531,37
1532,47
1533,44
1534,57
1535,51
1536,44
1537,53
1598,9
1599,26
1600,18
1601,30
1602,40
1603,52
1604,49
1605,49
1606,40
1607,45
1608,47
1609,44
1670,10
1671,17
1672,16
1673,27
1674,27
1675,42
1676,45
1677,54
1678,55
1679,44
1680,51
1681,34
1742,17
1743,18
1744,32
1745,32
1746,44
1747,49
1748,51
1749,59
1750,42
1751,65
1752,46
1753,59
1814,14
1815,20
1816,20
1817,23
1818,28
1819,30
1820,34
1821,59
1822,46
1823,44
1824,48
1825,45
1886,10
1887,19
1888,31
1889,39
1890,53
1891,46
1892,44
1893,47
1894,55
1895,70
1896,72
1897,55
1958,6
1959,7
1960,10
1961,19
1962,28
1963,53
1964,29
1965,44
1966,35
1967,51
1968,47
1969,48
2030,13
2031,18
2032,19
2033,45
2034,44
2035,56
2036,50
2037,46
2038,56
2039,43
2040,54
2041,41
2084,13
2085,17
2086,21
2087,31
2088,28
2089,47
2096,12
2097,16
2098,17
2099,22
2100,38
2101,41
2108,8
2109,16
2110,23
2111,22
2112,33
2113,37
2120,8
2121,13
2122,21
2123,32
2124,41
2125,38
2132,7
2133,8
2134,22
2135,14
2136,27
2137,34
2144,13
2145,10
2146,8
2147,17
2148,24
2149,30
2156,18
2157,21
2158,24
2159,35
2160,34
2161,43
2186,39
2187,57
2188,72
2189,70
2190,83
2191,118
2192,123
2193,119
2194,116
2195,120
2196,151
2197,131
2258,47
2259,59
2260,69
2261,88
2262,126
2263,139
2264,132
2265,151
2266,131
2267,150
2268,142
2269,173
2330,36
2331,50
2332,71
2333,77
2334,94
2335,99
2336,100
2337,105
2338,119
2339,137
2340,132
2341,122
2402,42
2403,61
2404,60
2405,79
2406,96
2407,100
2408,106
2409,98
2410,111
2411,123
2412,107
2413,110
2474,22
2475,63
2476,63
2477,86
2478,100
2479,93
2480,110
2481,127
2482,112
2483,129
2484,107
2485,105
2546,37
2547,58
2548,63
2549,74
